,8.33,16.7,33.3,66.7
600,36.82821243814323,10.253958897090596,0.007683662243119932,0.004610197345871959
800,10531.68162876963,5483.662564721312,0.145069285724107,0.08097523568759275
1000,53747.51689553063,31224.74791073684,3.1137619210602243,1.6701482707050908
1200,188579.18035382227,105480.18260044868,37.89009347103365,20.703957369484037
2000,2472821.4206950823,1274257.2394685075,3026.0886665497846,1720.247273282485
